Countries and areas,"HIV incidence per 1,000 uninfected population All ages","HIV incidence per 1,000 uninfected population children <5","HIV incidence per 1,000 uninfected population adolescents 1519",People living with HIV All ages,People living with HIV children <15,People living with HIV adolescents 1019,New HIV infections All ages,New HIV infections children <5,New HIV infections adolescents 1519,AIDSrelated deaths All ages,AIDSrelated deaths children <15,AIDSrelated deaths adolescents 1019,"Pregnant women reciving ARVs for PMTCT (%)
2016*",People living with HIV receiving antiretroviral therapy (ART) (%) All ages,People living with HIV receiving antiretroviral therapy (ART) (%) children <15,People living with HIV receiving antiretroviral therapy (ART) (%) adolescents 1019,Condom use among adolescents with multiple partners (%) male,Condom use among adolescents with multiple partners (%) female,Adolescents tested for HIV in the last 12 months and received results (%) male,Adolescents tested for HIV in the last 12 months and received results (%) female
Jordan,<0.01,<0.01,0.01,<500,,,<100,,<100,<100,,,,55,,,,,,
Kazakhstan,0.16,0.03,0.08,"26,000",<500,<500,"2,900",<100,<100,"<1,000",<100,<100,87,31,89,>95,94,,,11
Kenya,1.46,0.87,2.69,"1,600,000","120,000","140,000","62,000","6,100","14,000","36,000","4,800","3,300",80,64,65,,64,26,27,35
Kiribati,,,,,,,,,,,,,,,,,29,,,
Kuwait,0.02,0.01,0.03,<500,,,<100,,<100,<100,,,,80,,,,,,
Kyrgyzstan,0.13,0.02,0.07,"8,500",<200,<200,"<1,000",<100,<100,<500,<100,<100,,28,88,>95,,,,11
Lao People's Democratic Republic,0.10,0.10,0.10,"11,000","<1,000",<500,"<1,000",<100,<100,<500,<100,<100,50,41,34,,,,1,1
Latvia,0.23,0.02,0.63,"6,600",<100,<200,<500,<100,<100,<500,<100,<100,>95,26,93,,,,,
Lebanon,0.02,0.02,0.05,"2,200",,,<200,,<100,<100,,,,51,,,,,,
Lesotho,12.68,7.57,13.73,"330,000",,,"21,000",,"2,900","9,900",,,66,53,,,80,58,25,41
Liberia,0.66,0.47,1.49,"43,000","4,200","5,000","2,900",<500,"<1,000","2,800",<500,<500,70,19,11,,22,27,4,13
Libya,,,,,,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,
Lithuania,0.09,<0.01,0.05,"2,900",,,<500,,<100,<200,,,,23,,,,,,
Luxembourg,0.18,0.03,0.40,,,,<200,<100,<100,<100,<100,<100,56,,,,,,,
Madagascar,0.18,0.09,0.37,"31,000","1,900","3,200","4,300",<500,"<1,000","1,600",<500,<100,3,5,2,52,5,6,1,2
Malawi,2.29,1.61,2.58,"1,000,000","110,000","90,000","36,000","4,300","4,800","24,000","4,100","3,200",84,66,49,,59,44,22,32
Malaysia,0.19,0.01,0.07,"97,000",<500,"<1,000","5,700",<100,<200,"7,000",<100,<100,73,37,>95,71,,,,
Maldives,,,,,,,,,,,,,,,,,,,,
Mali,0.33,0.51,0.62,"110,000","14,000","9,900","5,900","1,600","1,200","6,100","<1,000",<500,35,35,21,7,47,26,1,8
Malta,,,,<500,,,<100,,,<100,,,,75,,,,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,"11,000","<1,000","<1,000",<500,<100,,"<1,000",<100,<100,34,23,23,15,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,
Mexico,0.10,0.02,0.19,"220,000","2,500","7,200","12,000",<500,"2,200","4,200",<200,<100,58,60,74,28,,36,,7
Micronesia (Federated States of),,,,,,,,,,,,,,,,,,,,
Monaco,,,,,,,,,,,,,,,,,,,,
Mongolia,0.01,<0.01,0.02,<500,,,<100,,<100,<100,,,,33,,,78,,,
Montenegro,0.11,0.05,0.30,<500,,,<100,,<100,<100,,,,60,,,64,,<0.1,0
Montserrat,,,,,,,,,,,,,,,,,,,,
Morocco,0.03,0.01,0.06,"22,000",<500,"<1,000","<1,000",<100,<200,"<1,000",<100,<100,62,48,>95,,,,,
Mozambique,3.63,2.77,3.03,"1,800,000","200,000","120,000","83,000","13,000","9,000","62,000","9,200","4,400",80,54,38,,39,43,10,25
Myanmar,0.22,0.12,0.49,"230,000","9,300","11,000","11,000","<1,000","2,300","7,800",<500,<200,87,55,78,,,,2,1
Namibia,4.37,1.32,5.31,"230,000","15,000","13,000","9,600",<500,"1,300","4,300",<500,<500,>95,64,66,,75,61,14,29
Nauru,,,,,,,,,,,,,,,,,,,,
Nepal,0.03,0.02,0.02,"32,000","1,200","<1,000","<1,000",<100,<100,"1,700",<100,<100,64,40,83,,,,3,3
Netherlands,0.03,<0.01,0.07,"23,000",<100,<500,<500,<100,<100,<200,<100,<100,>95,80,>95,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,
Nicaragua,0.06,0.01,0.13,"8,900",<200,<500,<500,<100,<100,<500,<100,<100,>95,43,71,33,,,,
Niger,0.09,0.13,0.18,"48,000","5,800","4,400","1,800","<1,000",<500,"3,400",<500,<500,52,32,17,14,,,2,4
Nigeria,1.23,1.19,2.18,"3,200,000","270,000","240,000","220,000","37,000","40,000","160,000","24,000","7,900",32,30,21,,46,38,2,4
Niue,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,
Oman,,,,,,,,,,,,,,,,,,,,
Pakistan,0.10,0.04,0.05,"130,000","3,300","2,300","19,000","<1,000","<1,000","5,500",<500,<100,4,7,10,85,,,,
Palau,,,,,,,,,,,,,,,,,,,,
Panama,0.34,0.08,0.70,"21,000",,,"1,300",,<500,"<1,000",,,,54,,,,,,
Papua New Guinea,0.37,0.42,0.27,"46,000","3,400","2,000","2,800",<500,<500,"1,100",<500,<100,33,52,37,,,,,
Paraguay,0.20,0.05,0.38,"19,000",<500,"<1,000","1,300",<100,<500,"<1,000",<100,<100,71,35,55,25,,50,,
Peru,,,,"70,000","1,300","2,400","2,700",<100,,"2,200",<100,<100,85,60,73,15,,20,,
Philippines,0.11,0.01,0.25,"56,000",<500,"5,200","10,000",<200,"2,400","<1,000",<100,<100,12,32,10,3,,,,<0.1
Poland,,,,,,,,,,,,,,,,,,,,
Portugal,,,,,,,,,,,,,,,,,,,,
Qatar,0.02,0.03,0.04,<100,,,<100,,<100,<100,,,,86,,,,,,
Republic of Korea,,,,,,,,,,,,,,,,,,,,
Republic of Moldova,0.38,0.06,0.19,"15,000",<200,<200,"1,600",<100,<100,<500,<100,<100,>95,29,83,55,,,6,10
Romania,0.04,<0.01,0.10,"16,000",<100,<500,"<1,000",<100,<200,<200,<100,<100,>95,68,>95,66,,,,
Russian Federation,,,,,,,,,,,,,,,,,,,,
Rwanda,0.70,0.50,0.85,"220,000","16,000","16,000","7,500","<1,000","<1,000","3,300","<1,000",<500,82,80,55,,,,22,27
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,54,50,,
Saint Lucia,,,,,,,,,,,,,,,,,,,,12
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,1,0
San Marino,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,79,,8,22
Saudi Arabia,0.02,0.01,0.01,"8,200",<500,<200,<500,<100,<100,<500,<100,<100,39,60,48,>95,,,,
Senegal,0.08,0.16,0.12,"41,000","4,800","2,900","1,100",<500,<200,"1,900",<500,<200,55,52,26,31,,,6,10
Serbia,0.03,0.01,0.06,"2,700",,,<500,,<100,<100,,,,62,,,63,,1,1
Seychelles,,,,,,,,,,,,,,,,,,,,
Sierra Leone,,,,"67,000","4,400","5,000","5,300",<500,,"2,800",<500,<200,87,26,18,,24,10,3,11
Singapore,,,,,,,,,,,,,,,,,,,,
Slovakia,0.02,<0.01,0.04,"<1,000",,,<200,,<100,<100,,,,59,,,,,,
Slovenia,0.03,<0.01,0.06,"<1,000",,,<100,,<100,<100,,,,,,,,,,
Solomon Islands,,,,,,,,,,,,,,,,,54,15,,
Somalia,0.17,0.18,0.13,"24,000","2,500","1,400","1,800",<500,<200,"1,700",<500,<100,7,11,5,,,,,
South Africa,5.58,2.19,10.51,"7,100,000","320,000","370,000","270,000","12,000","50,000","110,000","9,300","6,200",>95,56,55,,88,,29,38
South Sudan,1.35,1.25,1.08,"200,000","18,000","10,000","16,000","2,400","1,500","13,000","1,700",<500,29,10,5,,,6,,4
Spain,0.09,<0.01,0.21,"140,000",<100,"1,200","3,900",<100,<500,,,,>95,77,>95,,,,,
Sri Lanka,0.03,<0.01,0.06,"4,000",,,"<1,000",,<100,<200,,,,27,,,,,,
State of Palestine,,,,,,,,,,,,,,,,,,,,
Sudan,0.13,0.10,0.26,"56,000","3,000","3,800","5,000","<1,000","1,100","3,000",<500,<100,4,10,16,,,,,
Suriname,0.62,0.17,1.35,"4,900",<200,<500,<500,<100,<100,<200,<100,<100,89,48,81,36,,86,,11
Swaziland,9.37,4.50,11.91,"220,000","15,000","15,000","8,800","<1,000","1,400","3,900","<1,000",<500,95,79,64,91,,,30,41
Sweden,0.06,<0.01,0.14,"11,000",<100,<200,"<1,000",<100,<100,<100,<100,<100,>95,83,>95,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,
Syrian Arab Republic,,,,,,,,,,,,,,,,,,,,
Tajikistan,0.15,0.02,0.07,"14,000",<500,<500,"1,300",<100,<100,"<1,000",<100,<100,85,30,88,90,,,,1
Thailand,0.10,0.01,0.23,"450,000","4,100","9,700","6,400",<100,"<1,000","16,000",<100,<100,95,69,86,>95,,,4,6
The former Yugoslav Republic of Macedonia,0.02,<0.01,0.03,<500,,,<100,,<100,<100,,,,48,,,,,,
TimorLeste,,,,,,,,,,,,,,,,,,,,
Togo,0.59,0.65,0.49,"100,000","12,000","7,600","4,100","<1,000",<500,"5,100","<1,000",<500,86,51,26,27,,,7,11
Tokelau,,,,,,,,,,,,,,,,,,,,
Tonga,,,,,,,,,,,,,,,,,,,2,0
Trinidad and Tobago,0.29,0.05,0.60,"11,000",<100,<500,<500,<100,<100,<500,<100,<100,95,62,>95,,,,,
Tunisia,0.03,0.01,0.06,"2,900",,,<500,,<100,<100,,,,29,,,,,,<0.1
Turkey,,,,,,,,,,,,,,,,,,,,
Turkmenistan,,,,,,,,,,,,,,,,,,,,5
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,
Uganda,1.50,0.69,2.55,"1,400,000","130,000","120,000","52,000","4,600","10,000","28,000","5,800","3,800",>95,67,47,,52,26,28,39
Ukraine,0.38,0.17,0.57,"240,000","4,000","5,100","17,000",<500,"1,200","8,500",<200,<100,84,37,64,,90,,10,7
United Arab Emirates,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,1.19,1.28,1.04,"1,400,000","110,000","98,000","55,000","10,000","5,500","33,000","6,500","3,200",84,62,48,,45,38,13,21
United States,,,,,,,,,,,,,,,,,,,,
Uruguay,,,,"12,000",<100,<500,"<1,000",<100,,<500,<100,<100,83,53,>95,,,67,,7
Uzbekistan,,,,,,,,,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,
Venezuela (Bolivarian Republic of),0.21,0.10,0.44,"120,000","2,500","4,400","6,500",<500,"1,200","2,500",<200,<100,48,,,,,,,
Viet Nam,0.12,0.04,0.06,"250,000","5,800","3,200","11,000",<500,<500,"8,000",<200,<100,66,47,84,,,,,4
Yemen,0.04,0.02,0.08,"9,900",<500,"<1,000","1,100",<100,<500,<500,<100,<100,8,18,21,,,,,
Zambia,4.08,3.28,6.46,"1,200,000","94,000","95,000","59,000","8,900","11,000","21,000","5,700","2,300",83,65,52,,38,33,19,33
Zimbabwe,3.03,1.36,3.50,"1,300,000",,,"40,000",,"5,800","30,000",,,93,75,,,71,,19,30
